method,accuracy,sensitivity,specificity
Logistic Regression,0.7171717171717171,0.847457627118644,0.525
Gaussian Naive Bayes,0.797979797979798,0.8983050847457628,0.65
Support Vector Machine,0.8181818181818182,0.9322033898305084,0.65
