method,accuracy,sensitivity,specificity
Logistic Regression,0.6565656565656566,0.7966101694915254,0.44999999999999996
Gaussian Naive Bayes,0.6262626262626263,0.711864406779661,0.5
Support Vector Machine,0.6868686868686869,0.8983050847457628,0.375
