method,accuracy,sensitivity,specificity
Logistic Regression,0.9058823529411765,0.9183673469387755,0.8888888888888888
Gaussian Naive Bayes,0.9529411764705882,0.9183673469387755,1.0
Support Vector Machine,0.9058823529411765,0.9795918367346939,0.8055555555555556
