method,accuracy,sensitivity,specificity
Logistic Regression,0.9294117647058824,0.9166666666666666,0.9387755102040817
Gaussian Naive Bayes,0.9647058823529412,0.9722222222222222,0.9591836734693877
Support Vector Machine,0.9529411764705882,0.9444444444444444,0.9591836734693877
