method,accuracy,sensitivity,specificity
Logistic Regression,0.8032786885245902,0.7142857142857143,0.85
Gaussian Naive Bayes,0.819672131147541,0.6666666666666666,0.9
Support Vector Machine,0.7868852459016393,0.6190476190476191,0.875
