method,accuracy,sensitivity,specificity
Logistic Regression,0.8181818181818182,0.847457627118644,0.775
Gaussian Naive Bayes,0.8383838383838383,0.847457627118644,0.825
Support Vector Machine,0.8181818181818182,0.8305084745762712,0.8
